clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,det_x,det_y,det_w,det_h,visible,confidence,notes
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,10,manual_key_interp_v2,115.0,187.5,30.0,28.0,130.0,201.5,57.5,93.75,15.0,14.0,57.5,93.75,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,11,manual_key_interp_v2,115.8,187.05,30.0,28.0,130.8,201.05,57.9,93.53,15.0,14.0,57.9,93.53,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,12,manual_key_interp_v2,116.6,186.6,30.0,28.0,131.6,200.6,58.3,93.3,15.0,14.0,58.3,93.3,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,13,manual_key_interp_v2,117.4,186.15,30.0,28.0,132.4,200.15,58.7,93.08,15.0,14.0,58.7,93.08,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,14,manual_key_interp_v2,118.2,185.7,30.0,28.0,133.2,199.7,59.1,92.85,15.0,14.0,59.1,92.85,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,15,manual_key_interp_v2,119.0,185.25,30.0,28.0,134.0,199.25,59.5,92.62,15.0,14.0,59.5,92.62,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,16,manual_key_interp_v2,119.8,184.8,30.0,28.0,134.8,198.8,59.9,92.4,15.0,14.0,59.9,92.4,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,17,manual_key_interp_v2,120.6,184.35,30.0,28.0,135.6,198.35,60.3,92.17,15.0,14.0,60.3,92.17,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,18,manual_key_interp_v2,121.4,183.9,30.0,28.0,136.4,197.9,60.7,91.95,15.0,14.0,60.7,91.95,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,19,manual_key_interp_v2,122.2,183.45,30.0,28.0,137.2,197.45,61.1,91.72,15.0,14.0,61.1,91.72,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,20,manual_keyframe_v2,123.0,183.0,30.0,28.0,138.0,197.0,61.5,91.5,15.0,14.0,61.5,91.5,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,21,manual_key_interp_v2,123.9,182.35,30.0,28.0,138.9,196.35,61.95,91.17,15.0,14.0,61.95,91.17,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,22,manual_key_interp_v2,124.8,181.7,30.0,28.0,139.8,195.7,62.4,90.85,15.0,14.0,62.4,90.85,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,23,manual_key_interp_v2,125.7,181.05,30.0,28.0,140.7,195.05,62.85,90.53,15.0,14.0,62.85,90.53,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,24,manual_key_interp_v2,126.6,180.4,30.0,28.0,141.6,194.4,63.3,90.2,15.0,14.0,63.3,90.2,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,25,manual_key_interp_v2,127.5,179.75,30.0,28.0,142.5,193.75,63.75,89.88,15.0,14.0,63.75,89.88,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,26,manual_key_interp_v2,128.4,179.1,30.0,28.0,143.4,193.1,64.2,89.55,15.0,14.0,64.2,89.55,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,27,manual_key_interp_v2,129.3,178.45,30.0,28.0,144.3,192.45,64.65,89.22,15.0,14.0,64.65,89.22,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,28,manual_key_interp_v2,130.2,177.8,30.0,28.0,145.2,191.8,65.1,88.9,15.0,14.0,65.1,88.9,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,29,manual_key_interp_v2,131.1,177.15,30.0,28.0,146.1,191.15,65.55,88.58,15.0,14.0,65.55,88.58,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,30,manual_key_interp_v2,132.0,176.5,30.0,28.0,147.0,190.5,66.0,88.25,15.0,14.0,66.0,88.25,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,31,manual_key_interp_v2,132.9,175.85,30.0,28.0,147.9,189.85,66.45,87.92,15.0,14.0,66.45,87.92,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,32,manual_key_interp_v2,133.8,175.2,30.0,28.0,148.8,189.2,66.9,87.6,15.0,14.0,66.9,87.6,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,33,manual_key_interp_v2,134.7,174.55,30.0,28.0,149.7,188.55,67.35,87.28,15.0,14.0,67.35,87.28,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,34,manual_key_interp_v2,135.6,173.9,30.0,28.0,150.6,187.9,67.8,86.95,15.0,14.0,67.8,86.95,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,35,manual_key_interp_v2,136.5,173.25,30.0,28.0,151.5,187.25,68.25,86.62,15.0,14.0,68.25,86.62,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,36,manual_key_interp_v2,137.4,172.6,30.0,28.0,152.4,186.6,68.7,86.3,15.0,14.0,68.7,86.3,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,37,manual_key_interp_v2,138.3,171.95,30.0,28.0,153.3,185.95,69.15,85.97,15.0,14.0,69.15,85.97,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,38,manual_key_interp_v2,139.2,171.3,30.0,28.0,154.2,185.3,69.6,85.65,15.0,14.0,69.6,85.65,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,39,manual_key_interp_v2,140.1,170.65,30.0,28.0,155.1,184.65,70.05,85.33,15.0,14.0,70.05,85.33,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,40,manual_keyframe_v2,141.0,170.0,30.0,28.0,156.0,184.0,70.5,85.0,15.0,14.0,70.5,85.0,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,41,manual_key_interp_v2,143.05,169.85,30.1,28.1,158.1,183.9,71.52,84.92,15.05,14.05,71.52,84.92,15.05,14.05,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,42,manual_key_interp_v2,145.1,169.7,30.2,28.2,160.2,183.8,72.55,84.85,15.1,14.1,72.55,84.85,15.1,14.1,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,43,manual_key_interp_v2,147.15,169.55,30.3,28.3,162.3,183.7,73.58,84.77,15.15,14.15,73.58,84.77,15.15,14.15,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,44,manual_key_interp_v2,149.2,169.4,30.4,28.4,164.4,183.6,74.6,84.7,15.2,14.2,74.6,84.7,15.2,14.2,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,45,manual_key_interp_v2,151.25,169.25,30.5,28.5,166.5,183.5,75.62,84.62,15.25,14.25,75.62,84.62,15.25,14.25,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,46,manual_key_interp_v2,153.3,169.1,30.6,28.6,168.6,183.4,76.65,84.55,15.3,14.3,76.65,84.55,15.3,14.3,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,47,manual_key_interp_v2,155.35,168.95,30.7,28.7,170.7,183.3,77.67,84.48,15.35,14.35,77.67,84.48,15.35,14.35,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,48,manual_key_interp_v2,157.4,168.8,30.8,28.8,172.8,183.2,78.7,84.4,15.4,14.4,78.7,84.4,15.4,14.4,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,49,manual_key_interp_v2,159.45,168.65,30.9,28.9,174.9,183.1,79.73,84.33,15.45,14.45,79.73,84.33,15.45,14.45,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,50,manual_key_interp_v2,161.5,168.5,31.0,29.0,177.0,183.0,80.75,84.25,15.5,14.5,80.75,84.25,15.5,14.5,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,51,manual_key_interp_v2,163.55,168.35,31.1,29.1,179.1,182.9,81.77,84.17,15.55,14.55,81.77,84.17,15.55,14.55,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,52,manual_key_interp_v2,165.6,168.2,31.2,29.2,181.2,182.8,82.8,84.1,15.6,14.6,82.8,84.1,15.6,14.6,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,53,manual_key_interp_v2,167.65,168.05,31.3,29.3,183.3,182.7,83.83,84.02,15.65,14.65,83.83,84.02,15.65,14.65,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,54,manual_key_interp_v2,169.7,167.9,31.4,29.4,185.4,182.6,84.85,83.95,15.7,14.7,84.85,83.95,15.7,14.7,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,55,manual_key_interp_v2,171.75,167.75,31.5,29.5,187.5,182.5,85.88,83.88,15.75,14.75,85.88,83.88,15.75,14.75,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,56,manual_key_interp_v2,173.8,167.6,31.6,29.6,189.6,182.4,86.9,83.8,15.8,14.8,86.9,83.8,15.8,14.8,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,57,manual_key_interp_v2,175.85,167.45,31.7,29.7,191.7,182.3,87.92,83.73,15.85,14.85,87.92,83.73,15.85,14.85,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,58,manual_key_interp_v2,177.9,167.3,31.8,29.8,193.8,182.2,88.95,83.65,15.9,14.9,88.95,83.65,15.9,14.9,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,59,manual_key_interp_v2,179.95,167.15,31.9,29.9,195.9,182.1,89.98,83.58,15.95,14.95,89.98,83.58,15.95,14.95,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,60,manual_keyframe_v2,182.0,167.0,32.0,30.0,198.0,182.0,91.0,83.5,16.0,15.0,91.0,83.5,16.0,15.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,61,manual_key_interp_v2,180.75,167.05,32.1,30.1,196.8,182.1,90.38,83.52,16.05,15.05,90.38,83.52,16.05,15.05,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,62,manual_key_interp_v2,179.5,167.1,32.2,30.2,195.6,182.2,89.75,83.55,16.1,15.1,89.75,83.55,16.1,15.1,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,63,manual_key_interp_v2,178.25,167.15,32.3,30.3,194.4,182.3,89.12,83.58,16.15,15.15,89.12,83.58,16.15,15.15,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,64,manual_key_interp_v2,177.0,167.2,32.4,30.4,193.2,182.4,88.5,83.6,16.2,15.2,88.5,83.6,16.2,15.2,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,65,manual_key_interp_v2,175.75,167.25,32.5,30.5,192.0,182.5,87.88,83.62,16.25,15.25,87.88,83.62,16.25,15.25,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,66,manual_key_interp_v2,174.5,167.3,32.6,30.6,190.8,182.6,87.25,83.65,16.3,15.3,87.25,83.65,16.3,15.3,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,67,manual_key_interp_v2,173.25,167.35,32.7,30.7,189.6,182.7,86.62,83.67,16.35,15.35,86.62,83.67,16.35,15.35,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,68,manual_key_interp_v2,172.0,167.4,32.8,30.8,188.4,182.8,86.0,83.7,16.4,15.4,86.0,83.7,16.4,15.4,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,69,manual_key_interp_v2,170.75,167.45,32.9,30.9,187.2,182.9,85.38,83.73,16.45,15.45,85.38,83.73,16.45,15.45,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,70,manual_key_interp_v2,169.5,167.5,33.0,31.0,186.0,183.0,84.75,83.75,16.5,15.5,84.75,83.75,16.5,15.5,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,71,manual_key_interp_v2,168.25,167.55,33.1,31.1,184.8,183.1,84.12,83.77,16.55,15.55,84.12,83.77,16.55,15.55,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,72,manual_key_interp_v2,167.0,167.6,33.2,31.2,183.6,183.2,83.5,83.8,16.6,15.6,83.5,83.8,16.6,15.6,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,73,manual_key_interp_v2,165.75,167.65,33.3,31.3,182.4,183.3,82.88,83.83,16.65,15.65,82.88,83.83,16.65,15.65,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,74,manual_key_interp_v2,164.5,167.7,33.4,31.4,181.2,183.4,82.25,83.85,16.7,15.7,82.25,83.85,16.7,15.7,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,75,manual_key_interp_v2,163.25,167.75,33.5,31.5,180.0,183.5,81.62,83.88,16.75,15.75,81.62,83.88,16.75,15.75,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,76,manual_key_interp_v2,162.0,167.8,33.6,31.6,178.8,183.6,81.0,83.9,16.8,15.8,81.0,83.9,16.8,15.8,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,77,manual_key_interp_v2,160.75,167.85,33.7,31.7,177.6,183.7,80.38,83.92,16.85,15.85,80.38,83.92,16.85,15.85,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,78,manual_key_interp_v2,159.5,167.9,33.8,31.8,176.4,183.8,79.75,83.95,16.9,15.9,79.75,83.95,16.9,15.9,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,79,manual_key_interp_v2,158.25,167.95,33.9,31.9,175.2,183.9,79.12,83.98,16.95,15.95,79.12,83.98,16.95,15.95,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,80,manual_keyframe_v2,157.0,168.0,34.0,32.0,174.0,184.0,78.5,84.0,17.0,16.0,78.5,84.0,17.0,16.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,81,manual_key_interp_v2,156.85,168.0,34.1,32.1,173.9,184.05,78.42,84.0,17.05,16.05,78.42,84.0,17.05,16.05,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,82,manual_key_interp_v2,156.7,168.0,34.2,32.2,173.8,184.1,78.35,84.0,17.1,16.1,78.35,84.0,17.1,16.1,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,83,manual_key_interp_v2,156.55,168.0,34.3,32.3,173.7,184.15,78.27,84.0,17.15,16.15,78.27,84.0,17.15,16.15,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,84,manual_key_interp_v2,156.4,168.0,34.4,32.4,173.6,184.2,78.2,84.0,17.2,16.2,78.2,84.0,17.2,16.2,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,85,manual_key_interp_v2,156.25,168.0,34.5,32.5,173.5,184.25,78.12,84.0,17.25,16.25,78.12,84.0,17.25,16.25,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,86,manual_key_interp_v2,156.1,168.0,34.6,32.6,173.4,184.3,78.05,84.0,17.3,16.3,78.05,84.0,17.3,16.3,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,87,manual_key_interp_v2,155.95,168.0,34.7,32.7,173.3,184.35,77.98,84.0,17.35,16.35,77.98,84.0,17.35,16.35,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,88,manual_key_interp_v2,155.8,168.0,34.8,32.8,173.2,184.4,77.9,84.0,17.4,16.4,77.9,84.0,17.4,16.4,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,89,manual_key_interp_v2,155.65,168.0,34.9,32.9,173.1,184.45,77.83,84.0,17.45,16.45,77.83,84.0,17.45,16.45,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,90,manual_key_interp_v2,155.5,168.0,35.0,33.0,173.0,184.5,77.75,84.0,17.5,16.5,77.75,84.0,17.5,16.5,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,91,manual_key_interp_v2,155.35,168.0,35.1,33.1,172.9,184.55,77.67,84.0,17.55,16.55,77.67,84.0,17.55,16.55,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,92,manual_key_interp_v2,155.2,168.0,35.2,33.2,172.8,184.6,77.6,84.0,17.6,16.6,77.6,84.0,17.6,16.6,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,93,manual_key_interp_v2,155.05,168.0,35.3,33.3,172.7,184.65,77.52,84.0,17.65,16.65,77.52,84.0,17.65,16.65,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,94,manual_key_interp_v2,154.9,168.0,35.4,33.4,172.6,184.7,77.45,84.0,17.7,16.7,77.45,84.0,17.7,16.7,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,95,manual_key_interp_v2,154.75,168.0,35.5,33.5,172.5,184.75,77.38,84.0,17.75,16.75,77.38,84.0,17.75,16.75,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,96,manual_key_interp_v2,154.6,168.0,35.6,33.6,172.4,184.8,77.3,84.0,17.8,16.8,77.3,84.0,17.8,16.8,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,97,manual_key_interp_v2,154.45,168.0,35.7,33.7,172.3,184.85,77.23,84.0,17.85,16.85,77.23,84.0,17.85,16.85,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,98,manual_key_interp_v2,154.3,168.0,35.8,33.8,172.2,184.9,77.15,84.0,17.9,16.9,77.15,84.0,17.9,16.9,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,99,manual_key_interp_v2,154.15,168.0,35.9,33.9,172.1,184.95,77.08,84.0,17.95,16.95,77.08,84.0,17.95,16.95,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,100,manual_keyframe_v2,154.0,168.0,36.0,34.0,172.0,185.0,77.0,84.0,18.0,17.0,77.0,84.0,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,101,manual_key_interp_v2,153.85,167.95,36.0,34.0,171.85,184.95,76.92,83.97,18.0,17.0,76.92,83.97,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,102,manual_key_interp_v2,153.7,167.9,36.0,34.0,171.7,184.9,76.85,83.95,18.0,17.0,76.85,83.95,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,103,manual_key_interp_v2,153.55,167.85,36.0,34.0,171.55,184.85,76.78,83.92,18.0,17.0,76.78,83.92,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,104,manual_key_interp_v2,153.4,167.8,36.0,34.0,171.4,184.8,76.7,83.9,18.0,17.0,76.7,83.9,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,105,manual_key_interp_v2,153.25,167.75,36.0,34.0,171.25,184.75,76.62,83.88,18.0,17.0,76.62,83.88,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,106,manual_key_interp_v2,153.1,167.7,36.0,34.0,171.1,184.7,76.55,83.85,18.0,17.0,76.55,83.85,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,107,manual_key_interp_v2,152.95,167.65,36.0,34.0,170.95,184.65,76.47,83.83,18.0,17.0,76.47,83.83,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,108,manual_key_interp_v2,152.8,167.6,36.0,34.0,170.8,184.6,76.4,83.8,18.0,17.0,76.4,83.8,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,109,manual_key_interp_v2,152.65,167.55,36.0,34.0,170.65,184.55,76.33,83.78,18.0,17.0,76.33,83.78,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,110,manual_key_interp_v2,152.5,167.5,36.0,34.0,170.5,184.5,76.25,83.75,18.0,17.0,76.25,83.75,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,111,manual_key_interp_v2,152.35,167.45,36.0,34.0,170.35,184.45,76.17,83.72,18.0,17.0,76.17,83.72,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,112,manual_key_interp_v2,152.2,167.4,36.0,34.0,170.2,184.4,76.1,83.7,18.0,17.0,76.1,83.7,18.0,17.0,1,high,vision_manual_keyframe_interpolation_v2
