model,frame,visible,rank,oof_extra_trees_score,score,x,y,w,h,source,target_candidate,strict_hit_if_selected,dist_px,verified_score,tube_verifier_score
extra_trees,40,0,9,0.205732848,0.205732848,89,23,13,8,appearance,0,0,,2.876327,-0.357892
extra_trees,41,0,52,0.190525621,0.190525621,89,23,13,8,appearance,0,0,,1.379589,-0.50463
extra_trees,42,0,1,0.188454183,0.188454183,191,123,7,7,map,0,0,,6.396107,3.57715
extra_trees,43,0,3,0.289525777,0.289525777,192,122,7,7,map,0,0,,4.975407,3.50645
extra_trees,44,0,2,0.186276823,0.186276823,136,36,7,6,appearance,0,0,,7.01514,1.576616
extra_trees,45,0,3,0.190841851,0.190841851,176,48,12,12,map,0,0,,5.436879,1.603323
extra_trees,46,0,6,0.205935929,0.205935929,110,16,7,7,map,0,0,,4.719464,2.771334
extra_trees,47,0,2,0.201780518,0.201780518,140,35,9,7,appearance,0,0,,7.296057,-0.221926
extra_trees,48,0,5,0.204712671,0.204712671,141,35,9,7,appearance,0,0,,5.887664,-0.280319
extra_trees,49,0,12,0.206640705,0.206640705,142,35,9,7,appearance,0,0,,4.492248,-0.325735
extra_trees,50,0,1,0.160888753,0.160888753,208,33,3,3,map,0,0,,12.955091,3.560522
extra_trees,51,0,2,0.26115863,0.26115863,194,125,12,12,map,0,0,,14.658053,3.675199
extra_trees,52,0,1,0.284012572,0.284012572,195,126,12,12,map,0,0,,13.221475,3.588621
extra_trees,53,0,2,0.349154764,0.349154764,192,125,12,12,map,0,0,,13.047538,3.623993
extra_trees,54,0,2,0.414018344,0.414018344,197,129,12,12,map,0,0,,16.613567,3.685305
extra_trees,55,0,3,0.389450552,0.389450552,198,131,12,12,map,0,0,,14.377413,3.752719
extra_trees,56,0,3,0.34101299,0.34101299,202,134,7,7,map,0,0,,19.407962,3.936117
extra_trees,57,0,5,0.341812735,0.341812735,196,130,12,12,map,0,0,,11.929665,3.742651
extra_trees,58,0,6,0.408702302,0.408702302,198,134,7,7,map,0,0,,8.919834,3.401943
extra_trees,59,0,8,0.40889228,0.40889228,198,135,7,7,map,0,0,,8.89668,3.378789
extra_trees,60,0,13,0.265741537,0.265741537,198,136,7,7,map,0,0,,3.574111,3.274883
extra_trees,61,0,5,0.264111074,0.264111074,205,139,12,12,map,0,0,,12.451374,3.785372
extra_trees,62,0,2,0.274213605,0.274213605,237,64,12,12,map,0,0,,32.886988,5.402536
extra_trees,63,0,3,0.285483421,0.285483421,250,76,3,3,map,0,0,,20.852808,5.312057
extra_trees,64,0,2,0.288248147,0.288248147,244,68,12,12,map,0,0,,34.898843,5.398203
extra_trees,65,0,1,0.291256692,0.291256692,252,71,12,12,map,0,0,,31.762026,5.278599
extra_trees,66,0,2,0.313622935,0.313622935,257,73,12,12,map,0,0,,30.749117,5.712504
extra_trees,67,0,1,0.275743964,0.275743964,258,75,12,12,map,0,0,,22.993721,3.429754
extra_trees,68,0,1,0.209827552,0.209827552,262,77,12,12,map,0,0,,14.761207,3.166698
extra_trees,69,0,3,0.235830188,0.235830188,272,78,12,12,map,0,0,,10.921588,3.004804
extra_trees,70,0,5,0.208166917,0.208166917,161,56,12,12,map,0,0,,6.442872,3.327527
extra_trees,71,0,4,0.258071117,0.258071117,162,57,12,12,map,0,0,,10.557073,3.332541
extra_trees,72,0,4,0.27812011,0.27812011,163,58,12,12,map,0,0,,9.150732,3.2762
extra_trees,73,0,2,0.348741916,0.348741916,164,57,12,12,map,0,0,,12.561244,3.423907
extra_trees,74,0,4,0.370502318,0.370502318,165,57,12,12,map,0,0,,11.148107,3.36077
extra_trees,75,0,6,0.397549322,0.397549322,166,57,12,12,map,0,0,,9.750754,3.313417
extra_trees,76,0,6,0.40431762,0.40431762,167,60,12,12,map,0,0,,11.369643,3.364549
extra_trees,77,0,11,0.340072511,0.340072511,168,61,12,12,map,0,0,,7.113531,3.372877
extra_trees,78,0,16,0.292191321,0.292191321,171,66,12,12,map,0,0,,5.136032,3.383876
extra_trees,79,0,13,0.347257229,0.347257229,175,72,12,12,map,0,0,,7.223588,3.497288
extra_trees,80,0,1,0.270278527,0.270278527,210,166,12,12,map,0,0,,18.987869,3.872028
extra_trees,81,0,1,0.31596908,0.31596908,210,168,12,12,map,0,0,,25.786693,4.02135
extra_trees,82,0,1,0.287108725,0.287108725,210,170,12,12,map,0,0,,20.489748,3.970934
extra_trees,83,0,1,0.376986836,0.376986836,210,171,12,12,map,0,0,,20.732359,3.815975
extra_trees,84,0,2,0.386025665,0.386025665,204,172,12,12,map,0,0,,19.181261,3.866432
extra_trees,85,0,4,0.416309631,0.416309631,202,173,12,12,map,0,0,,13.829001,3.755897
extra_trees,86,0,3,0.517614444,0.517614444,204,174,12,12,map,0,0,,18.00176,3.79724
extra_trees,87,0,3,0.505068087,0.505068087,203,175,12,12,map,0,0,,13.453556,3.738913
extra_trees,88,0,5,0.542678473,0.542678473,206,178,7,7,map,0,0,,10.288508,3.521839
extra_trees,89,0,4,0.475901153,0.475901153,202,176,12,12,map,0,0,,13.531481,3.519597
extra_trees,90,0,3,0.489457419,0.489457419,209,183,7,7,map,0,0,,13.343064,3.610412
extra_trees,91,0,2,0.46556327,0.46556327,207,179,12,12,map,0,0,,17.639228,3.619792
extra_trees,92,0,3,0.450368241,0.450368241,207,179,12,12,map,0,0,,11.433663,3.490139
extra_trees,93,0,8,0.38625306,0.38625306,207,179,12,12,map,0,0,,5.942949,3.199248
extra_trees,94,0,3,0.38966071,0.38966071,196,173,12,12,map,0,0,,12.506523,3.157653
extra_trees,95,0,5,0.388515245,0.388515245,195,172,12,12,map,0,0,,8.257592,3.040138
extra_trees,96,0,5,0.453732393,0.453732393,201,176,12,12,map,0,0,,10.486101,3.345273
extra_trees,97,0,5,0.443504215,0.443504215,201,176,12,12,map,0,0,,6.840112,3.360676
extra_trees,98,0,8,0.506138279,0.506138279,199,175,12,12,map,0,0,,8.566996,3.406088
extra_trees,99,0,32,0.325436832,0.325436832,278,92,7,7,map,0,0,,4.607601,2.815645
extra_trees,100,0,6,0.313605634,0.313605634,197,176,12,12,map,0,0,,13.306077,3.473585
extra_trees,101,0,2,0.330417623,0.330417623,185,172,12,12,map,0,0,,21.462034,3.43072
extra_trees,102,0,5,0.315683276,0.315683276,193,176,12,12,map,0,0,,13.832579,3.659752
extra_trees,103,0,12,0.305004406,0.305004406,300,96,4,1,motion,0,0,,9.304013,4.946964
extra_trees,104,0,1,0.3052805,0.3052805,183,176,12,12,map,0,0,,22.82264,3.704234
extra_trees,105,0,12,0.305238357,0.305238357,17,112,12,12,map,0,0,,8.443063,3.509393
extra_trees,106,0,3,0.330783663,0.330783663,177,176,12,12,map,0,0,,19.587311,3.897187
extra_trees,107,0,7,0.336578909,0.336578909,1,110,12,12,map,0,0,,12.576869,3.78017
extra_trees,108,0,5,0.33201989,0.33201989,171,175,12,12,map,0,0,,14.732779,3.9756
extra_trees,109,0,12,0.281205202,0.281205202,238,37,12,12,map,0,0,,10.734103,3.116825
extra_trees,110,0,13,0.290326054,0.290326054,239,37,12,12,map,0,0,,7.099707,3.070126
extra_trees,111,0,21,0.273020159,0.273020159,240,37,12,12,map,0,0,,7.097095,3.067514
extra_trees,112,0,7,0.245981458,0.245981458,159,173,7,7,map,0,0,,12.86937,3.825822
extra_trees,113,0,5,0.26471824,0.26471824,157,174,12,12,map,0,0,,13.958002,3.98973
extra_trees,114,0,4,0.275051461,0.275051461,152,173,12,12,map,0,0,,17.474302,4.098423
extra_trees,115,0,8,0.243864105,0.243864105,149,173,12,12,map,0,0,,10.895612,4.058896
extra_trees,116,0,5,0.21330584,0.21330584,148,174,7,7,map,0,0,,14.965827,4.098069
extra_trees,117,0,10,0.211374742,0.211374742,145,174,7,7,map,0,0,,8.708175,4.060503
extra_trees,118,0,11,0.178089431,0.178089431,92,66,12,12,map,0,0,,7.999549,-1.258217
extra_trees,119,0,9,0.2191926,0.2191926,225,79,12,12,map,0,0,,9.63816,2.124745
extra_trees,120,0,6,0.176340448,0.176340448,129,165,12,12,map,0,0,,11.468966,3.746859
extra_trees,121,0,16,0.225509536,0.225509536,255,75,12,12,map,0,0,,4.913465,3.450063
extra_trees,122,0,10,0.231463753,0.231463753,255,74,12,12,map,0,0,,3.496573,3.38317
extra_trees,123,0,5,0.235092625,0.235092625,286,84,14,5,motion,0,0,,9.315808,3.541883
extra_trees,124,0,4,0.248761245,0.248761245,298,80,12,12,map,0,0,,10.899628,3.671627
extra_trees,125,0,4,0.282620178,0.282620178,305,80,12,12,map,0,0,,9.42552,3.54752
extra_trees,126,0,10,0.29886757,0.29886757,312,80,8,12,map,0,0,,7.978993,3.450992
extra_trees,127,0,4,0.250798981,0.250798981,111,157,12,12,map,0,0,,8.973232,4.089698
extra_trees,128,0,9,0.167530755,0.167530755,108,155,12,12,map,0,0,,6.464537,4.09616
extra_trees,129,0,5,0.167552676,0.167552676,24,185,12,12,map,0,0,,10.186409,3.348311
extra_trees,130,0,23,0.177180302,0.177180302,0,189,3,3,map,0,0,,3.03734,3.706558
extra_trees,131,0,34,0.167997624,0.167997624,0,192,3,3,map,0,0,,3.03734,3.706558
extra_trees,132,0,13,0.163519243,0.163519243,98,150,3,3,map,0,0,,3.218459,3.915415
extra_trees,133,0,8,0.217164179,0.217164179,90,141,12,12,map,0,0,,5.543227,4.173932
extra_trees,134,0,3,0.268763818,0.268763818,94,138,5,5,map,0,0,,6.841234,4.161265
extra_trees,135,0,4,0.272677946,0.272677946,93,134,5,5,map,0,0,,5.403646,4.073676
extra_trees,136,0,5,0.294586866,0.294586866,92,130,5,5,map,0,0,,3.985522,4.005552
extra_trees,137,0,47,0.12115167,0.12115167,173,56,3,11,motion,0,0,,-5.411835,-1.934233
extra_trees,138,0,78,0.127268834,0.127268834,178,56,3,11,motion,0,0,,-7.46332,-1.940285
extra_trees,139,0,2,0.150915163,0.150915163,140,68,12,12,map,0,0,,7.816014,-0.192907
extra_trees,140,0,5,0.106796887,0.106796887,142,69,12,12,map,0,0,,3.090342,-0.632259
extra_trees,141,0,11,0.143434278,0.143434278,76,118,3,3,map,0,0,,3.144969,3.419447
extra_trees,142,0,16,0.110985342,0.110985342,88,118,3,3,map,0,0,,1.496908,3.851113
extra_trees,143,0,4,0.151852479,0.151852479,306,136,12,12,map,0,0,,4.427212,3.095864
extra_trees,144,0,7,0.152646904,0.152646904,30,41,12,12,map,0,0,,4.152996,3.287946
extra_trees,145,0,7,0.142987387,0.142987387,31,41,12,12,map,0,0,,2.672029,3.156978
extra_trees,146,0,4,0.162063907,0.162063907,33,42,12,12,map,0,0,,4.648693,3.108907
extra_trees,147,0,4,0.16716413,0.16716413,34,42,12,12,map,0,0,,3.213372,3.023586
extra_trees,148,0,40,0.131985749,0.131985749,35,42,12,12,map,0,0,,1.806491,2.966705
extra_trees,149,0,3,0.121821354,0.121821354,167,75,5,5,map,0,0,,9.633967,-0.701655
extra_trees,150,0,3,0.107327663,0.107327663,168,76,5,5,map,0,0,,7.041046,-0.634325
extra_trees,151,0,1,0.118321387,0.118321387,178,78,8,5,appearance,0,0,,16.336251,-0.989227
extra_trees,152,0,2,0.137475695,0.137475695,181,79,8,5,appearance,0,0,,13.045232,-0.948528
extra_trees,153,0,3,0.137757943,0.137757943,185,77,3,2,motion,0,0,,9.897179,-0.50227
extra_trees,154,0,4,0.159300776,0.159300776,182,81,1,4,motion,0,0,,13.694432,-0.286805
extra_trees,155,0,8,0.126815555,0.126815555,122,64,12,12,map,0,0,,3.470218,2.840335
extra_trees,156,0,9,0.179736806,0.179736806,123,66,12,12,map,0,0,,6.740453,3.013835
extra_trees,157,0,8,0.181255719,0.181255719,124,67,12,12,map,0,0,,5.333751,2.957133
extra_trees,158,0,4,0.366525442,0.366525442,125,68,12,12,map,0,0,,9.368082,2.429229
extra_trees,159,0,3,0.357379734,0.357379734,126,69,12,12,map,0,0,,7.93599,2.347137
extra_trees,160,0,3,0.407874211,0.407874211,127,71,12,12,map,0,0,,10.791038,2.478291
extra_trees,161,0,3,0.402290357,0.402290357,129,73,12,12,map,0,0,,13.25098,2.584615
extra_trees,162,0,3,0.379611801,0.379611801,130,74,12,12,map,0,0,,10.826229,2.478637
extra_trees,163,0,4,0.475816339,0.475816339,131,75,12,12,map,0,0,,12.930128,2.509825
extra_trees,164,0,2,0.471843588,0.471843588,132,76,12,12,map,0,0,,12.942863,2.522561
extra_trees,165,0,3,0.518901415,0.518901415,133,76,12,12,map,0,0,,11.851547,2.403851
extra_trees,166,0,2,0.589346155,0.589346155,135,77,12,12,map,0,0,,14.236767,3.048522
extra_trees,167,0,2,0.445127147,0.445127147,136,78,12,12,map,0,0,,9.91447,2.873599
extra_trees,168,0,2,0.546605263,0.546605263,135,79,12,12,map,0,0,,14.142604,2.983416
extra_trees,169,0,3,0.534794161,0.534794161,136,80,12,12,map,0,0,,10.00536,2.920067
extra_trees,170,0,4,0.586515947,0.586515947,135,81,12,12,map,0,0,,11.487166,2.999597
extra_trees,171,0,2,0.65170226,0.65170226,131,81,12,12,map,0,0,,16.6267,3.251601
extra_trees,172,0,2,0.614465017,0.614465017,130,82,12,12,map,0,0,,12.131739,3.19046
extra_trees,173,0,2,0.695241394,0.695241394,131,83,12,12,map,0,0,,16.115558,3.245232
extra_trees,174,0,4,0.697040096,0.697040096,130,84,12,12,map,0,0,,12.609157,3.212959
extra_trees,175,0,6,0.772795892,0.772795892,130,86,12,12,map,0,0,,13.818476,3.209106
extra_trees,176,0,11,0.773488023,0.773488023,130,87,12,12,map,0,0,,13.80967,3.200299
extra_trees,177,0,1,0.791717719,0.791717719,111,81,12,12,map,0,0,,24.519969,3.526014
extra_trees,178,0,1,0.864789582,0.864789582,110,81,12,12,map,0,0,,28.961497,3.473248
extra_trees,179,0,1,0.851133586,0.851133586,109,82,12,12,map,0,0,,25.683226,3.465371
extra_trees,180,0,1,0.832399884,0.832399884,108,85,12,12,map,0,0,,23.834011,3.434654
extra_trees,181,0,1,0.812010462,0.812010462,106,87,12,12,map,0,0,,29.192866,3.587035
extra_trees,182,0,1,0.829511448,0.829511448,105,89,12,12,map,0,0,,22.262157,3.467626
extra_trees,183,0,1,0.82000131,0.82000131,105,89,12,12,map,0,0,,26.079221,3.476969
extra_trees,184,0,1,0.757221605,0.757221605,104,90,12,12,map,0,0,,18.116616,3.321471
extra_trees,185,0,4,0.615075923,0.615075923,103,91,12,12,map,0,0,,10.11107,3.134744
extra_trees,186,0,2,0.670324489,0.670324489,104,91,12,12,map,0,0,,14.507766,3.150645
extra_trees,187,0,4,0.426246162,0.426246162,104,92,12,12,map,0,0,,8.619106,3.106279
extra_trees,188,0,4,0.612859604,0.612859604,104,92,12,12,map,0,0,,14.715961,3.109776
extra_trees,189,0,5,0.586641113,0.586641113,104,93,12,12,map,0,0,,10.284877,2.946531
extra_trees,190,0,6,0.540660647,0.540660647,104,94,12,12,map,0,0,,9.648252,2.822394
extra_trees,191,0,3,0.582822155,0.582822155,105,95,12,12,map,0,0,,14.347422,2.842672
extra_trees,192,0,4,0.549549968,0.549549968,105,96,12,12,map,0,0,,10.512916,2.815887
extra_trees,193,0,2,0.575438213,0.575438213,106,95,12,12,map,0,0,,13.996636,2.849906
extra_trees,194,0,2,0.572611157,0.572611157,107,95,12,12,map,0,0,,13.978003,2.831272
extra_trees,195,0,1,0.576603646,0.576603646,106,97,12,12,map,0,0,,13.679012,2.856168
extra_trees,196,0,1,0.585367757,0.585367757,106,97,12,12,map,0,0,,18.366971,2.880357
extra_trees,197,0,3,0.448037782,0.448037782,106,98,12,12,map,0,0,,12.245435,2.85218
extra_trees,198,0,2,0.436555169,0.436555169,106,98,12,12,map,0,0,,16.159069,2.88159
extra_trees,199,0,5,0.430058995,0.430058995,106,98,12,12,map,0,0,,11.414549,2.831055
extra_trees,200,0,7,0.468105122,0.468105122,106,100,12,12,map,0,0,,10.709004,2.8411
extra_trees,201,0,9,0.461874292,0.461874292,106,101,12,12,map,0,0,,14.752965,2.910682
extra_trees,202,0,12,0.45124733,0.45124733,106,102,12,12,map,0,0,,11.278486,2.885905
extra_trees,203,0,7,0.424004181,0.424004181,105,103,12,12,map,0,0,,17.364953,2.497066
extra_trees,204,0,7,0.467587176,0.467587176,105,104,12,12,map,0,0,,13.119115,2.308136
extra_trees,205,0,12,0.420130757,0.420130757,104,103,12,12,map,0,0,,11.29399,2.241222
extra_trees,206,0,10,0.423963489,0.423963489,103,105,12,12,map,0,0,,15.269445,2.474646
extra_trees,207,0,13,0.437665712,0.437665712,102,106,12,12,map,0,0,,11.270844,2.360269
extra_trees,208,0,16,0.577230168,0.577230168,57,95,12,12,map,0,0,,11.542608,3.036415
extra_trees,209,0,16,0.605788598,0.605788598,56,96,12,12,map,0,0,,10.176414,3.020221
extra_trees,210,0,7,0.834427996,0.834427996,60,97,12,12,map,0,0,,14.289229,3.254275
extra_trees,211,0,6,0.933479878,0.933479878,60,99,12,12,map,0,0,,17.331228,3.249197
extra_trees,212,1,5,0.692764599,0.692764599,61,100,12,12,map,1,1,0.0,12.779572,3.233723
extra_trees,213,1,3,0.717896932,0.717896932,60,99,12,12,map,1,1,1.458,17.746623,3.301357
extra_trees,214,1,5,0.68179486,0.68179486,60,99,12,12,map,1,1,1.581,11.593205,3.257143
extra_trees,215,1,2,0.704510748,0.704510748,61,99,12,12,map,1,1,0.791,16.426554,3.256211
extra_trees,216,1,1,0.739472747,0.739472747,62,99,12,12,map,1,1,0.0,22.696587,3.34901
extra_trees,217,1,1,0.761716746,0.761716746,63,99,12,12,map,1,1,1.332,17.480522,3.316942
extra_trees,218,1,1,0.809083874,0.809083874,64,102,7,7,map,1,1,1.677,20.766432,3.334295
extra_trees,219,1,2,0.857781353,0.857781353,64,102,7,7,map,1,1,2.65,15.289353,3.085976
extra_trees,220,1,2,0.886396083,0.886396083,64,101,12,12,map,1,1,2.5,15.332548,3.107954
extra_trees,221,1,1,0.934920991,0.934920991,63,103,12,12,map,1,1,1.07,21.481449,3.148529
extra_trees,222,1,2,0.914125753,0.914125753,63,104,12,12,map,1,1,1.031,16.521377,3.087874
extra_trees,223,1,1,0.946621463,0.946621463,63,106,12,12,map,1,1,0.12,23.967877,3.150201
extra_trees,224,1,2,0.929129731,0.929129731,63,107,12,12,map,1,1,0.0,18.309506,3.102921
extra_trees,225,1,2,0.928077969,0.928077969,63,108,12,12,map,1,1,0.277,19.306788,3.008053
extra_trees,226,1,2,0.957386001,0.957386001,64,110,12,12,map,1,1,1.346,24.777444,3.065333
extra_trees,227,1,1,0.967394727,0.967394727,64,112,12,12,map,1,1,2.393,21.482941,3.039388
extra_trees,228,1,1,0.976480847,0.976480847,64,111,12,12,map,1,1,0.5,27.519751,3.089821
extra_trees,229,1,1,0.961051697,0.961051697,64,112,12,12,map,1,1,0.669,23.010287,2.998652
extra_trees,230,1,1,0.937001485,0.937001485,65,113,12,12,map,1,1,0.901,22.972139,2.981974
extra_trees,231,1,1,0.961745726,0.961745726,65,113,12,12,map,1,1,0.277,29.666447,2.991384
extra_trees,232,1,1,0.942512058,0.942512058,65,114,12,12,map,1,1,0.0,22.212332,2.921441
extra_trees,233,1,2,0.96348105,0.96348105,65,113,12,12,map,1,1,0.841,28.926815,2.948477
extra_trees,234,1,2,0.907913916,0.907913916,65,113,12,12,map,1,1,0.901,21.600205,2.891252
extra_trees,235,1,1,0.948364694,0.948364694,66,113,12,12,map,1,1,0.277,23.0714,2.942091
extra_trees,236,1,1,0.967167797,0.967167797,67,113,12,12,map,1,1,0.5,30.597152,3.042737
extra_trees,237,1,1,0.918702302,0.918702302,68,113,12,12,map,1,1,1.148,24.557859,2.98982
extra_trees,238,1,1,0.941342138,0.941342138,67,113,12,12,map,1,1,0.559,30.60184,3.025462
extra_trees,239,1,1,0.867553201,0.867553201,68,116,7,7,map,1,1,2.461,28.244874,3.03916
extra_trees,240,1,1,0.97755514,0.97755514,68,112,12,12,map,1,1,0.0,28.018758,3.186286
extra_trees,241,1,1,0.98001326,0.98001326,69,112,12,12,map,1,1,0.354,35.58655,3.307462
extra_trees,242,1,1,0.974327474,0.974327474,70,112,12,12,map,1,1,0.707,28.857199,3.265557
extra_trees,243,1,1,0.979678254,0.979678254,71,111,12,12,map,1,1,0.791,35.888415,3.328387
extra_trees,244,1,2,0.982589117,0.982589117,72,110,12,12,map,1,1,1.414,28.948226,3.22193
extra_trees,245,1,1,0.852038482,0.852038482,72,111,12,12,map,1,1,0.354,29.639193,2.851972
extra_trees,246,1,1,0.812961271,0.812961271,73,110,12,12,map,1,1,0.707,36.580191,3.029255
extra_trees,247,1,2,0.852557418,0.852557418,74,109,12,12,map,1,1,1.458,30.489845,2.947249
extra_trees,248,1,1,0.65658287,0.65658287,74,110,12,12,map,1,1,0.0,34.578242,2.723363
extra_trees,249,1,2,0.683131723,0.683131723,75,110,12,12,map,1,1,0.0,27.985992,2.44277
